PyPSA-EUR technology,parameter,couple to,reference,unit,comment
lignite,efficiency,mapping generation weighted to reference REMIND-EU technology,"[igcc, igccc, pc, coalchp]",,
lignite,CO2 intensity,mapping generation weighted to reference REMIND-EU technology,"[igcc, igccc, pc, coalchp]",,
nuclear,discount rate,mapping generation weighted to reference REMIND-EU technology,"[fnrs, tnrs]",,
nuclear,FOM,mapping generation weighted to reference REMIND-EU technology,"[fnrs, tnrs]",,
nuclear,fuel,mapping generation weighted to reference REMIND-EU technology,peur,,
nuclear,investment,mapping generation weighted to reference REMIND-EU technology,"[fnrs, tnrs]",,
nuclear,lifetime,mapping generation weighted to reference REMIND-EU technology,"[fnrs, tnrs]",,
nuclear,VOM,mapping generation weighted to reference REMIND-EU technology,"[fnrs, tnrs]",,
nuclear,efficiency,mapping generation weighted to reference REMIND-EU technology,"[fnrs, tnrs]",,
nuclear,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
OCGT,discount rate,mapping generation weighted to reference REMIND-EU technology,ngt,,
OCGT,FOM,mapping generation weighted to reference REMIND-EU technology,ngt,,
OCGT,investment,mapping generation weighted to reference REMIND-EU technology,ngt,,
OCGT,lifetime,mapping generation weighted to reference REMIND-EU technology,ngt,,
OCGT,VOM,mapping generation weighted to reference REMIND-EU technology,ngt,,
OCGT,efficiency,mapping generation weighted to reference REMIND-EU technology,ngt,,
OCGT,CO2 intensity,mapping generation weighted to reference REMIND-EU technology,ngt,,
offwind,discount rate,mapping generation weighted to reference REMIND-EU technology,windoff,,
offwind,FOM,mapping generation weighted to reference REMIND-EU technology,windoff,,
offwind,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
offwind,investment,mapping generation weighted to reference REMIND-EU technology,windoff,,
offwind,lifetime,mapping generation weighted to reference REMIND-EU technology,windoff,,
offwind,VOM,setting to reference value,0,USD/MWh,"Currently not in REMIND-EU output, else could be mapped to technology “csp”"
offwind,efficiency,mapping generation weighted to reference REMIND-EU technology,windoff,,
offwind,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
offwind-ac-connection-submarine,discount rate,mapping generation weighted to reference REMIND-EU technology,windoff,,
offwind-ac-connection-submarine,FOM,setting to reference value,0,%/year,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-connection-submarine,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
offwind-ac-connection-submarine,investment,setting to reference value,0,USD/MW/km,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-connection-submarine,lifetime,setting to reference value,1,years,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-connection-submarine,VOM,setting to reference value,0,USD/MWh,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-connection-submarine,efficiency,setting to reference value,1,p.u.,Process without direct losses
offwind-ac-connection-submarine,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
offwind-ac-connection-underground,discount rate,mapping generation weighted to reference REMIND-EU technology,windoff,,
offwind-ac-connection-underground,FOM,setting to reference value,0,%/year,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-connection-underground,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
offwind-ac-connection-underground,investment,setting to reference value,0,USD/MW/km,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-connection-underground,lifetime,setting to reference value,1,years,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-connection-underground,VOM,setting to reference value,0,USD/MWh,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-connection-underground,efficiency,setting to reference value,1,p.u.,Process without direct losses
offwind-ac-connection-underground,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
offwind-ac-station,discount rate,setting to reference value,0,p.u.,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-station,FOM,setting to reference value,0,%/year,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-station,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
offwind-ac-station,investment,setting to reference value,0,USD/MW,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-station,lifetime,setting to reference value,1,years,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-station,VOM,setting to reference value,0,USD/MWh,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-ac-station,efficiency,setting to reference value,1,p.u.,Process without direct losses
offwind-ac-station,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
offwind-dc-connection-submarine,discount rate,mapping generation weighted to reference REMIND-EU technology,windoff,,
offwind-dc-connection-submarine,FOM,setting to reference value,0,%/year,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-connection-submarine,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
offwind-dc-connection-submarine,investment,setting to reference value,0,USD/MW/km,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-connection-submarine,lifetime,setting to reference value,1,years,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-connection-submarine,VOM,setting to reference value,0,USD/MWh,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-connection-submarine,efficiency,setting to reference value,1,p.u.,Process without direct losses
offwind-dc-connection-submarine,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
offwind-dc-connection-underground,discount rate,mapping generation weighted to reference REMIND-EU technology,windoff,,
offwind-dc-connection-underground,FOM,setting to reference value,0,%/year,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-connection-underground,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
offwind-dc-connection-underground,investment,setting to reference value,0,USD/MW/km,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-connection-underground,lifetime,setting to reference value,1,years,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-connection-underground,VOM,setting to reference value,0,USD/MWh,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-connection-underground,efficiency,setting to reference value,1,p.u.,Process without direct losses
offwind-dc-connection-underground,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
offwind-dc-station,discount rate,setting to reference value,0,p.u.,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-station,FOM,setting to reference value,0,%/year,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-station,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
offwind-dc-station,investment,setting to reference value,0,USD/MW,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-station,lifetime,setting to reference value,1,years,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-station,VOM,setting to reference value,0,USD/MWh,"No corresponding technology in REMIND-EU, setting to an (hopefully) non-disruptive default value."
offwind-dc-station,efficiency,setting to reference value,1,p.u.,Process without direct losses
offwind-dc-station,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
oil,discount rate,mapping generation weighted to reference REMIND-EU technology,dot,,
oil,FOM,mapping generation weighted to reference REMIND-EU technology,dot,,
oil,fuel,mapping generation weighted to reference REMIND-EU technology,peoil,,
oil,investment,mapping generation weighted to reference REMIND-EU technology,dot,,
oil,lifetime,mapping generation weighted to reference REMIND-EU technology,dot,,
oil,VOM,mapping generation weighted to reference REMIND-EU technology,dot,,
oil,efficiency,mapping generation weighted to reference REMIND-EU technology,dot,,
oil,CO2 intensity,mapping generation weighted to reference REMIND-EU technology,dot,,
onwind,discount rate,mapping generation weighted to reference REMIND-EU technology,wind,,
onwind,FOM,mapping generation weighted to reference REMIND-EU technology,wind,,
onwind,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
onwind,investment,mapping generation weighted to reference REMIND-EU technology,wind,,
onwind,lifetime,mapping generation weighted to reference REMIND-EU technology,wind,,
onwind,VOM,setting to reference value,0,USD/MWh,"Currently not in REMIND-EU output, else could be mapped to technology “csp”"
onwind,efficiency,mapping generation weighted to reference REMIND-EU technology,wind,,
onwind,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
PHS,discount rate,mapping generation weighted to reference REMIND-EU technology,hydro,,
PHS,FOM,scaling original values based on reference PyPSA-EUR technology,hydro,,
PHS,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
PHS,investment,scaling original values based on reference PyPSA-EUR technology,hydro,,
PHS,lifetime,scaling original values based on reference PyPSA-EUR technology,hydro,,
PHS,VOM,setting to reference value,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
PHS,efficiency,mapping generation weighted to reference REMIND-EU technology,hydro,,
PHS,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
ror,discount rate,mapping generation weighted to reference REMIND-EU technology,hydro,,
ror,FOM,scaling original values based on reference PyPSA-EUR technology,hydro,,
ror,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
ror,investment,scaling original values based on reference PyPSA-EUR technology,hydro,,
ror,lifetime,scaling original values based on reference PyPSA-EUR technology,hydro,,
ror,VOM,setting to reference value,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
ror,efficiency,mapping generation weighted to reference REMIND-EU technology,hydro,,
ror,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
solar,discount rate,mapping generation weighted to reference REMIND-EU technology,spv,,
solar,FOM,mapping generation weighted to reference REMIND-EU technology,spv,,
solar,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
solar,investment,mapping generation weighted to reference REMIND-EU technology,spv,,
solar,lifetime,mapping generation weighted to reference REMIND-EU technology,spv,,
solar,VOM,setting to reference value,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
solar,efficiency,mapping generation weighted to reference REMIND-EU technology,spv,,
solar,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
solar-rooftop,discount rate,mapping generation weighted to reference REMIND-EU technology,spv,,
solar-rooftop,FOM,mapping generation weighted to reference REMIND-EU technology,spv,,
solar-rooftop,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
solar-rooftop,investment,mapping generation weighted to reference REMIND-EU technology,spv,,
solar-rooftop,lifetime,mapping generation weighted to reference REMIND-EU technology,spv,,
solar-rooftop,VOM,setting to reference value,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
solar-rooftop,efficiency,mapping generation weighted to reference REMIND-EU technology,spv,,
solar-rooftop,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
solar-utility,discount rate,mapping generation weighted to reference REMIND-EU technology,spv,,
solar-utility,FOM,mapping generation weighted to reference REMIND-EU technology,spv,,
solar-utility,fuel,setting to reference value,0,USD/MWh,Dummy value; else PyPSA-EUR throws an error
solar-utility,investment,mapping generation weighted to reference REMIND-EU technology,spv,,
solar-utility,lifetime,mapping generation weighted to reference REMIND-EU technology,spv,,
solar-utility,VOM,setting to reference value,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
solar-utility,efficiency,mapping generation weighted to reference REMIND-EU technology,spv,,
solar-utility,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
